song_key,song,artist,entry_date,exit_date,days_on_playlist,peak_position,peak_date,entry_to_peak_days,reentry_count,avg_position,rank_volatility,retention_stability_index,entry_popularity,peak_popularity,exit_popularity,album_type,is_explicit,duration_ms,total_tracks
diabólica | cris mj,Diabólica,Cris Mj,2025-03-13,2025-08-19,156,14,2025-03-23,10,4,30.29,10.3,0.0885,70.0,73.0,77.0,album,True,192000,17
diamonds | mora,DIAMONDS,Mora,2024-08-30,2024-09-02,4,18,2024-08-30,0,0,34.75,11.23,0.0817,0.0,0.0,74.0,album,True,193367,15
dicelo | lianet rivero & lia & gatillo,Dicelo,Lianet Rivero & Lia & Gatillo,2024-10-20,2024-10-23,4,24,2024-10-21,1,0,28.25,2.86,0.259,52.0,54.0,66.0,single,False,153563,1
die with a smile | lady gaga & bruno mars,Die With A Smile,Lady Gaga & Bruno Mars,2025-08-31,2025-11-23,48,29,2025-11-15,76,7,40.85,6.43,0.1347,94.0,100.0,100.0,single,False,251667,1
diluvio | rauw alejandro,DILUVIO,Rauw Alejandro,2024-10-21,2025-10-14,188,3,2024-11-16,26,3,18.82,11.95,0.0772,77.0,87.0,81.0,album,True,197052,14
dinero y fama (feat. omar montes) | myke towers,DINERO y FAMA (feat. Omar Montes),Myke Towers,2025-08-24,2025-08-24,1,40,2025-08-24,0,0,40.0,0.0,1.0,0.0,0.0,0.0,album,True,215946,20
dios #1 | cruz cafuné,Dios #1,Cruz Cafuné,2024-05-28,2024-05-28,1,43,2024-05-28,0,0,43.0,0.0,1.0,56.0,56.0,56.0,album,True,200125,23
do it 4 th€ gram | cruz cafuné,do it 4 th€ gram,Cruz Cafuné,2025-07-21,2025-07-21,1,34,2025-07-21,0,0,34.0,0.0,1.0,54.0,54.0,54.0,single,True,150582,6
doblexxó | j balvin,Doblexxó,J Balvin,2025-08-10,2025-08-23,12,33,2025-08-10,0,1,43.17,4.93,0.1686,0.0,0.0,74.0,album,True,176720,15
don't lie | duki,don't liE,Duki,2024-06-25,2024-06-29,5,44,2024-06-28,3,0,48.0,2.1,0.3228,67.0,74.0,75.0,album,False,213892,14
donde se aprende a querer? | mora,DONDE SE APRENDE A QUERER?,Mora,2024-08-30,2025-02-17,152,3,2024-08-30,0,6,31.2,12.41,0.0746,0.0,0.0,83.0,album,False,144427,15
dubai | trueno & beny jr,DUBAI,Trueno & Beny Jr,2024-06-15,2024-06-22,8,47,2024-06-17,2,0,49.0,1.12,0.4721,75.0,75.0,77.0,single,False,146000,1
duro de verdad pt.2 | los sufridos,Duro De Verdad pt.2,Los Sufridos,2025-09-20,2025-09-20,1,39,2025-09-20,0,0,39.0,0.0,1.0,55.0,55.0,55.0,single,False,204303,1
duro de verdad pt.2 | los sufridos & bad gyal,Duro De Verdad pt.2,Los Sufridos & Bad Gyal,2025-09-21,2025-11-27,68,1,2025-09-27,6,0,6.51,5.81,0.1469,59.0,70.0,76.0,single,False,204303,1
duro | quevedo,DURO,Quevedo,2025-11-02,2025-11-27,26,1,2025-11-02,0,0,11.38,8.14,0.1094,66.0,66.0,67.0,single,False,162204,1
déjame entrar | rauw alejandro,Déjame Entrar,Rauw Alejandro,2025-07-25,2025-11-23,9,17,2025-11-17,115,2,37.67,10.19,0.0894,73.0,66.0,75.0,album,True,254705,18
el chacal | mora,EL CHACAL,Mora,2024-08-30,2024-09-02,4,10,2024-08-30,0,0,19.75,6.72,0.1295,0.0,0.0,76.0,album,True,197787,15
